idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,saldoTruco,saldoEnvido,saldoFlor
137,2,3,3,2,8,4,2,3,4,10,8,10,0,2,2,2,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,6,1,1,0,0,0,0,2,4,1,1,3,1,2,3,0,1,0,0,0,0,8,14,0,0,1,3,0
141,1,7,3,3,52,16,8,3,8,3,16,15,0,2,2,2,0,1,0,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,13,5,14,0,0,0,0,0,0,3,2,1,1,4,1,1,4,2,4,0,0,0,0,13,76,1,0,1,1,0
145,1,8,7,2,50,8,7,2,7,10,8,10,0,2,2,2,0,1,0,20,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,22,13,23,1,1,0,0,0,0,2,2,4,3,1,3,4,4,0,1,0,0,0,0,17,65,1,0,1,1,0
166,2,8,2,2,50,24,16,8,16,10,24,10,0,2,2,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,1,16,19,16,20,1,1,0,0,0,0,2,1,3,3,1,3,2,2,0,1,0,0,1,0,12,90,0,0,1,1,0
181,1,12,2,1,24,16,7,10,1,10,1,10,1,2,2,2,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,11,1,1,1,0,0,0,0,2,1,4,4,4,4,0,0,0,0,0,0,0,0,15,47,0,0,1,5,0
185,1,3,1,1,50,40,8,10,1,10,1,10,1,2,2,2,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,3,19,4,1,1,0,0,0,0,1,3,2,3,2,3,0,0,0,0,0,0,0,0,5,98,0,0,1,1,0
192,1,8,7,1,16,16,12,1,12,7,16,15,0,2,2,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,2,7,3,0,0,0,0,0,0,1,2,3,1,4,1,3,2,2,4,0,0,0,0,16,44,0,0,1,1,0
198,1,8,6,3,16,16,6,3,6,10,16,10,0,2,2,2,2,0,0,20,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,11,19,13,1,1,0,0,0,0,2,2,3,2,4,2,3,3,0,4,0,0,0,0,17,38,0,1,1,1,0
213,1,16,8,7,24,24,12,7,12,8,24,130,0,2,2,2,2,0,1,20,3,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,19,11,21,13,0,0,0,0,0,0,3,1,1,2,1,2,1,4,1,1,0,0,1,0,31,60,0,1,2,2,0
219,1,16,3,1,24,8,3,10,1,10,1,10,1,2,2,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,15,8,16,1,1,0,0,0,0,1,4,2,4,1,4,0,0,0,0,0,0,0,0,20,35,0,0,1,1,0
230,1,16,7,4,42,16,8,7,8,10,16,10,0,2,2,2,1,0,0,27,7,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,7,16,8,18,1,1,0,0,0,0,2,4,4,1,4,1,4,2,0,4,0,0,1,0,27,66,1,0,2,1,0
234,1,8,6,4,12,7,6,8,12,10,6,10,0,2,2,2,1,0,0,20,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16,22,17,23,1,1,0,0,0,0,1,1,4,2,1,2,1,2,0,4,0,0,0,0,18,25,1,0,1,1,0
237,2,4,2,1,12,6,2,10,12,10,1,10,1,2,2,2,1,0,0,29,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,2,5,1,1,0,0,0,0,3,1,1,4,3,4,0,4,0,0,0,0,0,0,7,20,1,0,1,1,0
243,2,8,7,6,12,8,1,6,8,10,12,10,0,2,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,15,8,16,1,1,0,0,0,0,2,4,3,4,3,4,3,3,0,4,0,0,0,0,21,21,0,0,1,1,0
246,1,3,2,1,52,24,3,10,1,10,1,10,1,2,2,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,16,19,17,1,1,0,0,0,0,3,2,4,1,4,1,0,0,0,0,0,0,0,0,6,79,0,0,1,5,0
256,2,24,3,2,8,6,1,10,1,10,1,10,1,2,2,2,0,0,1,29,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,5,12,6,1,1,0,0,0,0,3,3,1,4,2,4,0,3,0,0,0,0,0,0,29,15,1,0,1,1,0
269,1,24,3,3,6,3,1,10,1,10,1,10,1,2,2,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,17,11,18,1,1,0,0,0,0,2,3,4,3,1,3,0,0,0,0,0,0,0,0,30,10,0,0,1,1,0
271,1,24,3,2,16,4,3,3,4,2,3,15,0,2,2,2,1,0,2,29,35,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,19,20,20,0,0,0,0,0,0,4,4,3,3,3,3,4,3,3,2,0,0,0,0,29,23,1,0,1,5,0
273,1,24,12,6,52,24,12,6,12,10,24,10,0,2,2,2,1,0,0,24,3,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,24,22,1,2,1,1,0,0,0,0,4,4,1,1,3,1,1,2,0,3,0,0,1,0,42,88,1,0,2,1,0
276,1,6,3,1,42,16,4,1,4,10,16,10,0,2,2,2,1,0,0,26,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,5,5,6,1,1,0,0,0,0,2,2,4,1,4,1,4,3,0,4,0,0,0,0,10,62,1,0,1,1,0
278,1,6,3,1,16,6,4,1,4,3,6,15,0,2,2,2,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,8,9,9,0,0,0,0,0,0,3,2,3,2,4,2,3,3,2,4,0,0,0,0,10,26,0,0,1,2,0
280,1,6,4,1,24,7,6,1,6,10,7,10,0,2,2,2,0,0,1,31,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,9,11,10,1,1,0,0,0,0,1,4,4,1,3,1,4,2,0,3,0,0,0,0,11,37,1,0,1,1,0
287,1,7,2,1,50,42,6,10,1,10,1,10,1,2,2,2,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,6,2,1,1,0,0,0,0,4,2,3,3,1,3,0,0,0,0,0,0,0,0,10,98,0,0,1,1,0
304,1,6,2,1,7,6,1,10,1,10,1,10,1,2,2,2,1,0,0,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,3,1,1,0,0,0,0,4,1,4,2,3,2,0,0,0,0,0,0,0,0,9,14,1,0,1,1,0
305,2,3,2,2,24,8,7,10,7,10,1,10,1,2,2,2,1,0,0,31,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,5,4,1,1,0,0,0,0,2,2,1,2,3,2,0,2,0,0,0,0,0,0,7,39,1,0,1,2,0
316,1,16,6,3,52,24,6,3,6,16,24,130,0,2,2,2,2,0,0,6,24,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,0,2,4,23,21,23,26,0,0,0,0,0,0,3,2,1,1,1,1,1,4,3,1,0,0,1,0,25,82,0,1,4,1,0
324,1,2,1,1,24,12,3,1,3,10,12,10,0,2,2,2,1,0,0,29,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,17,14,18,1,1,0,0,0,0,4,4,2,1,2,1,2,2,0,2,0,0,0,0,4,39,1,0,1,2,0
328,2,7,7,3,52,42,12,3,12,7,42,130,0,2,2,2,2,0,0,6,29,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,21,22,21,25,0,0,0,0,0,0,1,3,2,1,1,1,2,2,1,1,0,0,1,0,17,106,0,1,2,1,0
335,1,7,3,2,42,12,4,3,4,7,12,15,0,2,2,2,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,9,13,10,0,0,0,0,0,0,2,1,3,1,2,1,1,3,2,2,0,0,0,0,12,58,0,0,1,1,0
338,1,42,6,2,8,4,2,6,8,10,2,10,0,2,2,2,0,1,0,32,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,20,17,21,18,1,1,0,0,0,0,1,1,1,2,4,2,1,2,0,3,0,0,0,0,50,14,1,0,1,1,0
352,2,6,3,3,24,7,7,3,7,10,7,10,0,2,2,2,2,0,0,6,23,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,8,17,9,1,1,0,0,0,0,1,3,1,1,1,1,1,2,0,1,0,0,0,0,12,38,0,1,1,2,0
390,1,24,6,1,24,7,7,1,7,10,24,10,0,2,2,2,0,0,2,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,22,11,22,14,1,1,0,0,0,0,1,2,4,2,3,2,4,1,0,2,0,0,1,0,31,38,0,1,2,1,0
396,1,16,3,1,24,6,2,1,2,3,6,15,0,2,2,2,1,0,2,6,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,4,11,5,0,0,0,0,0,0,2,4,2,2,1,2,2,1,4,1,0,0,0,0,20,32,1,0,1,5,0
397,2,8,2,1,16,12,3,1,16,10,12,10,0,2,2,2,0,0,2,29,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,5,14,6,1,1,0,0,0,0,3,3,3,4,2,4,3,4,0,2,0,0,0,0,11,31,0,1,1,5,0
400,1,12,1,1,24,3,3,10,1,10,1,10,1,2,2,2,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16,10,16,11,1,1,0,0,0,0,2,3,4,1,1,1,0,0,0,0,0,0,0,0,14,30,0,0,1,1,0
405,1,16,12,3,42,24,8,10,1,10,1,10,1,2,2,2,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,1,4,4,1,4,1,0,0,0,0,0,0,0,0,31,74,0,0,1,1,0
406,1,40,2,1,24,16,6,10,0,10,0,10,0,2,2,2,1,0,0,29,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,1,0,0,0,1,1,1,0,0,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,43,46,0,0,1,1,0
407,1,52,4,1,16,8,2,10,0,10,0,10,0,2,2,2,2,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,0,0,0,1,1,1,0,0,0,0,1,3,4,4,1,4,0,0,0,0,0,0,0,0,57,26,0,0,1,1,0
417,2,3,3,2,24,6,6,1,6,3,6,130,1,2,2,2,2,0,0,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,2,16,15,17,17,0,0,0,0,0,0,4,2,3,4,3,4,3,2,2,3,0,0,0,1,8,36,1,0,2,1,0
420,1,4,2,1,24,16,8,10,0,10,0,10,0,2,2,2,1,0,0,7,25,2,2,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,2,18,21,18,26,1,1,0,0,0,0,3,4,1,4,4,4,0,0,0,0,0,0,0,1,7,48,1,0,2,3,0
433,2,8,7,6,40,12,8,6,12,10,8,10,1,2,2,2,1,0,0,0,28,2,2,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,1,1,1,1,4,1,1,0,0,0,0,4,1,4,2,2,2,4,2,0,1,0,0,0,0,21,60,0,1,1,2,0
434,1,8,1,1,40,7,7,10,1,10,1,10,1,2,2,2,1,0,0,4,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,2,5,1,1,0,0,0,0,4,2,4,2,3,2,0,0,0,0,0,0,0,0,10,54,1,0,1,1,0
454,2,4,2,1,52,16,12,10,12,10,1,10,1,2,2,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,2,6,1,1,0,0,0,0,3,2,4,1,3,1,0,4,0,0,0,0,0,0,7,80,0,0,1,1,0
460,2,6,4,3,16,12,2,10,16,10,1,10,1,2,2,2,0,0,0,33,5,0,1,10,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,2,2,1,8,14,18,15,1,1,0,0,0,0,1,3,3,1,4,1,0,1,0,0,0,0,0,0,13,30,0,1,1,10,0
462,2,6,3,2,12,7,6,10,12,10,1,10,1,2,2,2,0,0,0,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,0,2,1,19,15,21,16,1,1,0,0,0,0,2,1,2,2,3,2,0,2,0,0,0,0,0,0,11,25,0,1,1,2,0
476,1,6,6,4,16,12,4,6,12,15,1,15,1,2,2,2,2,0,0,27,30,0,1,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,2,1,14,3,16,4,0,0,0,0,0,0,3,2,3,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,1,2,0
477,2,3,2,1,7,7,3,1,7,2,3,15,0,2,2,2,2,0,1,29,26,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16,4,21,5,0,0,0,0,0,0,3,4,4,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,1,5,0
480,1,24,12,8,40,12,3,8,12,10,40,10,0,2,2,2,0,0,2,23,33,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,23,10,23,13,1,2,0,0,0,0,1,2,1,2,4,2,1,4,0,2,0,0,0,0,0,0,0,0,2,1,0
492,1,50,4,4,24,6,2,50,1,15,1,15,1,2,2,2,1,0,0,28,28,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,0,7,0,11,0,0,0,0,0,0,3,4,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0
494,1,8,7,3,12,6,4,8,1,15,1,15,1,2,2,2,0,0,0,26,7,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,3,20,6,21,0,0,0,0,0,0,2,2,2,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
496,1,7,2,2,24,6,3,7,1,15,1,15,1,2,2,2,0,0,2,5,26,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,10,21,10,23,0,0,0,0,0,0,2,4,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
497,1,16,8,8,50,6,4,16,1,15,1,15,1,2,2,2,2,0,0,2,21,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,12,23,12,26,0,0,0,0,0,0,2,1,4,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
498,1,7,7,4,24,12,1,7,12,15,1,15,1,2,2,2,0,0,1,27,27,0,1,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,0,0,3,1,0,0,0,0,0,0,2,4,4,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,1,3,0
500,1,8,6,2,40,16,16,8,16,15,1,15,1,2,2,2,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,6,1,6,2,0,0,0,0,0,0,3,1,2,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0
505,2,8,8,2,50,24,16,2,24,10,16,10,0,2,2,2,2,0,0,25,25,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,5,3,5,7,1,2,0,0,0,0,2,4,2,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,2,0
513,1,4,3,3,8,8,6,10,1,10,1,10,1,2,2,2,1,0,0,33,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,18,15,19,1,1,0,0,0,0,4,4,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
514,2,12,8,1,42,40,6,15,1,15,1,15,1,2,2,2,0,0,2,21,27,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,15,19,15,21,0,0,0,0,0,0,4,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
515,1,24,7,4,42,12,7,24,1,15,1,15,1,2,2,2,1,0,0,23,7,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,15,21,16,22,0,0,0,0,0,0,1,1,4,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
516,2,42,16,6,52,8,6,10,52,10,1,10,1,2,2,2,0,0,0,29,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16,22,16,26,1,1,0,0,0,0,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
517,1,7,6,6,24,12,1,7,12,15,1,15,1,2,2,2,1,0,0,20,24,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,16,26,1,1,0,0,0,0,0,0,4,4,1,4,4,2,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0
521,1,8,7,6,12,8,7,6,8,7,12,15,0,2,2,2,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,9,5,9,7,0,0,0,0,0,0,1,3,1,4,4,4,1,4,3,4,0,0,0,0,0,0,0,0,2,1,0
523,1,3,3,2,50,6,6,2,6,15,1,15,1,2,2,2,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,12,7,12,8,0,0,0,0,0,0,1,2,3,3,3,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0
524,2,6,4,1,12,8,3,1,12,10,8,10,0,2,2,2,0,2,0,7,27,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,12,8,12,11,1,2,0,0,0,0,1,4,3,4,3,4,3,4,0,3,0,0,0,0,0,0,0,0,2,1,0
526,2,7,7,1,16,16,8,15,1,15,1,15,1,2,2,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,13,11,13,12,0,0,0,0,0,0,3,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
527,1,50,3,1,42,12,3,1,3,15,1,15,1,2,2,2,0,1,0,30,7,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,13,12,14,13,0,0,0,0,0,0,3,2,2,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0
529,2,7,4,3,24,16,6,15,1,15,1,15,1,2,2,2,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,20,15,20,16,0,0,0,0,0,0,1,4,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
530,1,40,16,16,50,24,6,16,24,10,50,10,0,2,2,2,0,0,0,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,2,3,20,16,20,19,1,2,0,0,0,0,2,1,2,3,3,2,2,3,0,3,0,0,0,0,0,0,0,0,3,1,0
534,1,8,7,1,24,16,1,8,24,15,1,15,1,2,2,2,0,1,0,24,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,2,2,2,0,3,2,0,0,0,0,0,0,4,3,4,1,4,2,4,1,0,0,0,0,0,0,0,0,0,0,2,1,0
536,1,16,6,3,52,24,7,16,24,15,1,15,1,2,2,2,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,6,2,6,3,0,0,0,0,0,0,1,3,2,1,4,3,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0
537,2,8,8,1,24,6,1,8,24,15,1,15,1,2,2,2,0,0,0,4,27,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,1,6,3,6,7,0,0,0,0,0,0,4,1,2,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0
540,1,16,7,3,42,24,24,7,24,10,24,10,0,2,2,2,2,0,0,22,7,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,4,0,4,3,1,2,0,0,0,0,1,1,4,1,4,2,1,4,0,2,0,0,0,0,0,0,0,0,2,1,0
541,1,7,6,2,52,7,3,7,1,15,1,15,1,2,2,2,1,0,0,25,27,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,1,5,5,5,8,0,0,0,0,0,0,3,4,4,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0
