idMao,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,quemPediuEnvido,quemPediuFaltaEnvido,pontosEnvidoRobo,quemGanhouEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemGanhouFlor,quemTruco,quemRetruco,quemValeQuatro,quemNegouTruco,quemGanhouTruco,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo
114,2,16,7,3,3,6,16,7,7,24,2,1,2,0,0,6,0,2,0,0,0,1,2,1,0,2,2,3,1
115,1,24,6,1,1,6,24,7,15,1,2,1,2,0,0,4,0,0,0,0,0,1,2,0,1,2,2,3,1
116,2,50,24,3,3,8,24,8,50,1,2,1,1,0,0,24,0,0,0,0,0,1,0,0,0,1,3,3,1
117,1,6,3,2,2,7,3,2,15,1,2,1,2,1,0,26,1,0,0,0,0,2,0,0,1,2,1,1,4
118,2,7,3,1,1,1,46,1,15,1,0,130,130,0,0,30,0,1,0,0,0,2,0,0,1,2,2,2,2
119,1,7,1,1,1,8,10,12,10,0,2,2,2,1,0,4,1,0,0,0,0,0,0,0,0,2,1,2,1
120,2,16,12,7,7,3,12,50,16,7,1,2,1,1,0,2,1,0,0,0,0,1,2,0,0,1,3,2,1
121,1,50,8,2,2,3,46,1,46,1,130,1,1,1,0,5,1,0,0,0,0,1,0,0,2,1,3,1,3
122,2,24,16,7,46,0,46,1,15,1,130,130,130,0,0,25,0,0,0,0,0,2,0,0,1,2,1,1,2
123,1,52,24,12,12,24,24,2,52,1,2,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,1,3,2
124,2,12,12,3,3,2,12,16,12,3,1,2,1,2,0,6,2,0,0,0,0,1,2,0,0,1,2,4,1
125,2,6,3,1,1,7,46,1,46,1,1,1,1,2,0,6,2,0,0,0,0,0,0,0,0,1,1,3,1
126,1,24,7,3,3,8,24,16,7,24,2,1,2,0,0,29,0,1,0,0,0,2,0,0,0,2,2,2,2
127,2,12,12,2,12,2,2,4,46,6,1,1,1,2,0,5,2,0,0,0,0,2,1,0,2,1,2,4,3
128,1,2,1,1,10,1,10,1,10,1,2,2,2,0,0,5,0,0,0,0,0,0,0,0,0,2,1,4,2
129,2,24,6,4,4,7,24,8,15,1,2,1,2,2,0,23,2,0,0,0,0,2,0,0,1,2,2,2,3
130,1,8,6,2,2,4,8,7,15,1,2,1,2,2,0,5,2,0,0,0,0,2,0,0,1,2,3,2,4
131,2,16,3,2,16,12,2,1,15,1,1,2,2,2,0,6,1,0,0,0,0,2,0,0,1,2,1,3,1
132,1,16,1,1,1,3,16,12,1,52,2,1,2,1,0,26,2,0,0,0,0,0,0,0,0,2,2,2,4
133,2,12,6,2,6,2,2,42,46,1,1,1,1,2,0,5,2,0,0,0,0,2,1,0,2,1,4,1,2
134,2,16,4,4,4,2,4,24,46,3,1,1,1,2,0,7,2,0,0,0,0,2,1,0,2,1,2,3,4
135,1,24,8,1,1,2,8,7,24,24,2,1,0,0,0,23,2,0,0,0,0,1,2,0,0,2,3,3,2
136,2,6,4,2,2,6,4,1,46,1,2,1,1,0,0,32,1,0,0,0,0,1,0,0,2,1,2,4,4
137,2,3,3,2,3,4,10,8,10,0,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,2,2,4,1
138,1,24,16,16,16,2,16,1,46,1,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,2,4,1
139,2,7,4,4,7,6,4,12,10,16,10,2,2,0,0,7,0,0,0,0,0,2,1,0,0,2,2,4,3
140,2,12,7,2,2,16,46,1,15,1,130,130,130,0,0,5,0,0,0,0,0,2,0,0,1,2,4,2,3
141,1,7,3,3,3,8,3,16,15,0,2,2,2,0,1,6,1,0,0,0,0,0,0,0,0,2,3,2,1
142,2,42,7,2,2,1,7,16,42,50,1,2,2,2,0,7,1,0,0,0,0,1,2,1,0,2,1,4,2
143,1,24,24,6,24,1,6,8,24,8,1,2,1,0,1,3,1,0,0,0,0,1,2,1,0,1,3,1,3
144,2,8,4,1,4,3,1,3,15,1,1,2,130,0,0,27,2,0,0,0,0,2,0,0,1,2,3,3,1
145,1,8,7,2,2,7,10,8,10,0,2,2,2,0,1,20,1,0,0,0,0,0,0,0,0,2,2,2,4
146,2,8,8,6,6,3,8,24,8,6,1,2,1,0,0,0,0,0,0,0,0,2,1,0,0,1,2,4,1
147,1,40,6,3,6,7,3,1,40,1,2,1,1,0,0,7,1,0,0,0,0,2,1,0,0,1,2,4,2
148,2,24,16,8,8,1,16,1,46,1,1,1,1,2,0,3,2,0,0,0,0,1,0,0,0,1,1,2,3
149,1,24,16,2,24,6,2,12,10,50,10,2,2,0,0,5,0,0,0,0,0,1,2,0,0,2,3,1,2
150,2,24,4,2,24,16,2,1,46,1,1,1,1,2,0,35,0,1,0,0,0,2,0,0,0,1,3,3,3
151,1,50,16,8,8,1,46,1,46,1,1,1,1,0,0,22,0,0,0,0,0,1,0,0,2,1,3,1,1
152,1,24,7,6,6,12,46,3,46,1,1,1,1,1,0,20,2,0,0,0,0,2,1,0,2,1,4,2,2
153,2,7,1,1,1,2,46,1,15,1,130,130,130,0,0,4,2,0,0,0,0,2,0,0,1,2,2,1,4
154,2,16,8,4,4,3,8,1,46,1,1,1,1,0,0,7,2,0,0,0,0,1,0,0,0,1,2,3,4
155,1,16,4,2,2,6,46,0,15,1,130,130,130,0,0,32,1,0,0,0,0,1,2,0,1,2,2,3,3
156,2,24,6,1,6,3,1,8,15,50,1,2,2,0,2,24,2,0,0,0,0,2,1,2,1,2,3,4,4
157,1,24,6,3,3,12,6,3,24,16,2,1,1,0,0,23,0,2,0,0,0,2,1,0,0,1,3,3,4
158,2,52,50,8,8,1,46,1,46,1,1,1,1,0,0,1,0,0,0,0,0,2,1,0,2,1,1,3,2
159,1,16,12,6,6,7,16,3,12,42,2,1,2,1,0,2,2,0,0,0,0,2,1,2,0,2,3,2,4
160,2,16,6,1,46,0,46,1,15,1,130,130,130,2,0,4,2,0,0,0,0,2,0,0,1,2,1,2,1
161,1,40,12,2,2,24,12,1,40,42,2,1,2,0,0,33,0,1,0,0,0,2,1,2,0,2,2,2,2
162,2,52,4,3,3,2,4,6,52,2,1,2,1,0,0,7,0,0,0,0,0,0,0,0,0,1,1,4,2
163,1,16,7,7,7,2,7,2,46,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,1,3,2
164,2,8,8,4,4,1,8,12,8,7,1,2,1,0,0,7,0,0,0,0,0,2,0,0,0,1,3,1,4
166,2,8,2,2,8,16,10,24,10,0,2,2,2,0,0,5,0,0,0,0,0,2,1,0,0,2,2,1,3
167,1,16,12,2,12,1,16,1,46,1,1,1,1,1,0,5,1,0,0,0,0,0,0,0,0,1,3,4,3
168,2,16,8,2,2,40,8,2,15,1,2,1,2,0,0,5,0,0,0,0,0,2,1,2,1,2,4,3,2
169,1,50,7,1,1,8,7,1,50,1,2,1,1,1,0,21,1,0,0,0,0,1,0,0,0,1,3,3,2
170,2,24,16,6,6,2,16,12,46,0,1,1,1,2,0,3,1,0,0,0,0,0,0,0,0,1,4,2,4
171,1,52,24,6,6,7,24,6,52,1,2,1,1,1,0,23,2,0,0,0,0,1,0,0,0,1,1,3,3
172,2,12,6,3,3,16,6,3,12,24,2,1,2,2,0,21,2,0,0,0,0,2,1,2,0,2,4,4,2
173,1,24,24,7,7,16,24,7,24,24,2,1,0,0,0,3,0,0,0,0,0,2,1,0,0,2,4,3,1
175,1,6,4,2,4,3,6,1,46,0,1,1,1,0,0,7,0,2,0,0,0,0,0,0,0,1,2,4,3
176,2,8,6,3,8,7,3,3,46,0,1,0,1,2,0,6,2,0,0,0,0,0,0,0,0,1,1,4,2
177,1,24,7,3,7,16,3,2,24,42,2,1,2,2,0,6,2,0,0,0,0,2,1,2,0,2,4,3,2
178,2,12,6,3,3,16,6,1,12,42,2,1,2,2,0,26,1,0,0,0,0,1,2,0,0,2,4,1,1
179,1,50,24,8,8,2,46,1,46,1,1,1,1,0,0,3,0,0,0,0,0,1,0,0,2,1,3,4,2
180,2,40,24,4,4,6,40,24,24,1,2,1,1,2,0,30,1,0,0,0,0,2,1,0,0,1,2,2,4
181,1,12,2,1,10,1,10,1,10,1,2,2,2,0,0,5,0,0,0,0,0,0,0,0,0,2,2,1,4
182,2,52,16,1,16,3,1,6,52,24,1,2,1,2,0,4,2,0,0,0,0,1,0,0,0,1,1,3,2
183,1,52,8,3,3,6,52,24,8,1,2,1,1,0,0,6,0,0,0,0,0,1,0,0,0,1,1,4,1
184,2,40,16,16,16,6,16,42,40,8,1,2,1,2,0,7,2,0,0,0,0,1,2,1,0,1,2,4,3
185,1,3,1,1,10,1,10,1,10,1,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,2,1,3,2
186,2,24,7,3,7,4,3,16,46,1,1,1,1,2,0,6,2,0,0,0,0,2,1,0,2,1,1,4,2
187,1,24,4,2,2,1,46,1,46,1,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,1,1,4,3
188,1,24,7,4,4,1,46,1,46,1,1,1,1,1,0,7,1,0,0,0,0,0,0,0,0,1,4,1,4
189,2,52,24,4,24,8,4,16,46,1,1,1,1,2,0,7,2,0,0,0,0,2,0,0,0,1,1,3,4
190,1,42,3,2,2,7,3,1,42,1,2,1,1,0,0,7,0,0,0,0,0,1,0,0,0,1,1,3,4
191,2,7,2,1,1,12,46,1,15,1,130,130,130,1,0,29,1,0,0,0,0,2,0,0,1,2,4,1,1
192,1,8,7,1,1,12,7,16,15,0,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,2,1,2,3
193,2,16,7,3,16,8,3,42,7,2,1,2,1,2,0,6,2,0,0,0,0,2,0,0,0,1,1,2,4
194,1,24,3,1,1,3,24,6,10,0,10,2,2,1,0,6,1,0,0,0,0,0,0,0,0,2,1,3,1
195,2,16,7,4,4,3,7,1,46,1,1,1,1,0,0,22,0,2,0,0,0,0,0,0,0,1,2,2,3
196,1,24,24,1,1,4,24,7,24,42,2,1,2,1,0,27,1,0,0,0,0,1,2,0,0,2,2,3,3
197,2,8,4,3,8,7,3,1,46,1,1,1,1,2,0,33,1,0,0,0,0,0,0,0,0,1,3,4,4
198,1,8,6,3,3,6,10,16,10,0,2,2,2,2,0,20,2,0,0,0,0,0,0,0,0,2,2,2,3
199,2,40,4,3,3,7,4,1,46,1,2,1,1,0,0,7,0,0,0,0,0,1,0,0,2,1,2,4,1
200,1,24,8,1,1,3,24,12,8,40,130,130,130,0,0,4,2,0,0,0,0,2,1,2,0,2,1,4,3
201,2,16,8,1,46,1,46,1,46,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,4,2,4
202,1,24,24,6,6,24,46,2,46,1,130,1,1,0,0,3,0,0,0,0,0,1,0,0,2,1,4,3,1
203,2,8,6,4,8,6,6,12,46,2,1,2,1,2,0,7,2,0,0,0,0,1,0,0,2,1,3,1,3
204,2,16,6,3,6,3,16,16,46,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,1,2,1
205,1,16,12,7,7,8,12,3,16,1,2,1,1,2,0,2,2,0,0,0,0,0,0,0,0,1,3,4,2
206,2,24,7,3,7,7,46,6,46,1,0,1,1,0,0,23,0,0,0,0,0,1,0,0,2,1,4,4,1
207,1,24,7,7,7,12,7,1,24,24,2,1,0,0,0,3,0,0,0,0,0,1,2,0,0,2,3,1,4
208,2,8,3,2,8,7,3,12,46,1,1,1,1,1,0,31,1,0,0,0,0,2,1,0,2,1,4,2,2
209,1,40,16,3,16,16,46,1,46,1,0,1,1,0,2,7,2,0,0,0,0,1,0,0,2,1,2,4,3
210,2,42,4,3,46,1,46,1,46,1,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,1,1,4,1
211,1,12,3,1,12,6,3,7,10,8,10,2,2,1,0,27,1,0,0,0,0,1,0,0,0,2,2,2,3
212,2,6,4,2,2,24,4,3,15,1,2,1,2,1,0,7,1,0,0,0,0,2,0,0,1,2,2,4,1
213,1,16,8,7,7,12,8,24,130,0,2,2,2,2,0,20,1,0,0,0,0,2,0,0,0,2,3,1,1
214,1,50,7,2,2,16,50,24,46,1,2,1,1,1,0,25,2,0,0,0,0,2,1,0,2,1,3,1,1
215,2,52,16,12,12,12,46,6,46,1,0,1,1,0,0,23,0,2,0,0,0,1,0,0,2,1,1,1,4
216,1,16,8,2,8,1,2,7,46,2,1,2,1,1,0,25,2,0,0,0,0,1,0,0,2,1,4,2,2
217,2,8,7,4,8,8,10,24,10,0,0,2,2,1,0,7,1,0,0,0,0,0,0,0,0,2,1,4,3
218,2,40,6,3,3,12,40,7,6,2,2,1,1,2,0,7,2,0,0,0,0,1,2,0,0,1,2,1,3
219,1,16,3,1,10,1,10,1,10,1,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,2,1,4,2
220,2,16,12,4,12,7,16,24,10,8,10,2,2,2,0,7,2,0,0,0,0,0,0,0,0,2,2,4,3
221,1,52,24,7,7,8,52,42,24,1,2,1,1,2,0,3,2,0,0,0,0,2,1,0,0,1,1,2,4
222,2,8,6,6,6,16,8,7,6,1,2,1,1,2,0,0,2,0,0,0,0,2,0,0,0,1,4,2,1
223,1,24,7,2,2,6,24,8,7,40,2,1,2,1,0,5,1,0,0,0,0,2,0,0,0,2,2,4,2
224,1,12,4,2,12,24,4,2,15,1,2,1,2,0,0,7,0,0,0,0,0,1,2,0,1,2,2,3,2
225,2,40,8,4,4,1,8,42,40,52,1,2,2,2,0,7,2,0,0,0,0,2,0,0,0,2,2,3,4
226,1,12,7,2,7,8,12,7,46,1,2,1,1,2,0,5,2,0,0,0,0,1,0,0,2,1,2,3,4
